t,sc,event
0.0,7.097451,0
0.1,7.106178,0
0.2,7.102093,0
0.3,7.096870,0
0.4,7.091247,0
0.5,7.084942,0
0.6,7.079060,0
0.7,7.072039,0
0.8,7.065950,0
0.9,7.059832,0
1.0,7.053068,0
1.1,7.048037,0
1.2,7.040295,0
1.3,7.037459,0
1.4,7.030213,0
1.5,7.025829,0
1.6,7.020956,0
1.7,7.014919,0
1.8,7.009112,0
1.9,7.004079,0
2.0,7.000396,0
2.1,6.994439,0
2.2,6.990046,0
2.3,6.987415,0
2.4,6.982289,0
2.5,6.982527,0
2.6,6.982249,0
2.7,6.981071,0
2.8,6.979228,0
2.9,6.979888,0
3.0,6.979266,0
3.1,6.979327,0
3.2,6.978361,0
3.3,6.978484,0
3.4,6.977654,0
3.5,6.976499,0
3.6,6.973063,0
3.7,6.972582,0
3.8,6.970913,0
3.9,6.967591,0
4.0,6.966981,0
4.1,6.962856,0
4.2,6.959690,0
4.3,6.956604,0
4.4,6.952754,0
4.5,6.951525,0
4.6,6.947840,0
4.7,6.943962,0
4.8,6.941412,0
4.9,6.938621,0
5.0,6.935323,1
5.1,6.926946,0
5.2,6.926717,0
5.3,6.923540,0
5.4,6.920486,0
5.5,6.915201,0
5.6,6.909319,0
5.7,6.907023,0
5.8,6.902827,0
5.9,6.898445,0
6.0,6.896564,0
6.1,6.889992,0
6.2,6.886139,0
6.3,6.878323,0
6.4,6.871242,0
6.5,6.874029,0
6.6,6.868473,0
6.7,6.867444,0
6.8,6.877095,0
6.9,6.910325,0
7.0,6.984602,0
7.1,7.103524,0
7.2,7.281277,0
7.3,7.523309,0
7.4,7.827660,0
7.5,8.171835,0
7.6,8.550786,0
7.7,8.970562,0
7.8,9.405814,0
7.9,9.826619,0
8.0,10.260590,0
8.1,10.651290,0
8.2,11.046140,0
8.3,11.423997,0
8.4,11.714305,0
8.5,12.034432,0
8.6,12.371646,0
8.7,12.645121,0
8.8,12.918805,0
8.9,13.170010,0
9.0,13.375132,0
9.1,13.532732,0
9.2,13.667385,0
9.3,13.770845,0
9.4,13.840074,0
9.5,13.895313,0
9.6,13.918394,0
9.7,13.901106,0
9.8,13.903915,0
9.9,13.924069,0
10.0,13.994851,0
10.1,14.120792,0
10.2,14.262166,0
10.3,14.400074,0
10.4,14.518904,0
10.5,14.627483,0
10.6,14.662568,0
10.7,14.674214,0
10.8,14.658189,0
10.9,14.618911,0
11.0,14.568658,0
11.1,14.482155,0
11.2,14.371279,0
11.3,14.239622,0
11.4,14.076647,0
11.5,13.886633,0
11.6,13.676651,0
11.7,13.469220,0
11.8,13.265021,0
11.9,13.095162,0
12.0,13.023714,0
12.1,13.077355,0
12.2,13.247786,0
12.3,13.501955,0
12.4,13.791451,0
12.5,14.068248,0
12.6,14.305350,0
12.7,14.487866,0
12.8,14.620449,0
12.9,14.699088,0
13.0,14.733331,0
13.1,14.739046,0
13.2,14.736995,0
13.3,14.724759,0
13.4,14.709723,0
13.5,14.676023,0
13.6,14.618874,0
13.7,14.527538,0
13.8,14.414225,0
13.9,14.281789,0
14.0,14.130255,0
14.1,13.972877,0
14.2,13.809391,0
14.3,13.641236,0
14.4,13.472698,0
14.5,13.305869,0
14.6,13.140959,0
14.7,12.973659,0
14.8,12.813412,0
14.9,12.667104,0
15.0,12.529099,0
15.1,12.389805,0
15.2,12.259671,0
15.3,12.138409,0
15.4,12.024869,1
15.5,11.938211,0
15.6,11.895434,0
15.7,11.922336,0
15.8,12.022505,0
15.9,12.167567,0
16.0,12.335283,0
16.1,12.497350,0
16.2,12.627272,0
16.3,12.721642,0
16.4,12.777020,0
16.5,12.798176,0
16.6,12.791082,0
16.7,12.761121,0
16.8,12.718489,0
16.9,12.653953,0
17.0,12.579364,0
17.1,12.512421,0
17.2,12.518568,0
17.3,12.653314,0
17.4,12.912346,0
17.5,13.262589,0
17.6,13.643834,0
17.7,14.000330,0
17.8,14.298905,0
17.9,14.524063,0
18.0,14.677155,0
18.1,14.769643,0
18.2,14.809696,0
18.3,14.810167,0
18.4,14.784602,0
18.5,14.733530,0
18.6,14.657202,0
18.7,14.550059,0
18.8,14.403908,0
18.9,14.223061,0
19.0,14.014299,0
19.1,13.796665,0
19.2,13.577925,0
19.3,13.369433,0
19.4,13.173204,0
19.5,12.989773,0
19.6,12.822988,0
19.7,12.662980,0
19.8,12.519145,0
